t_sec,rho,v_mps,n_agents
762.963,0.5,0.31036114438245826,1
762.996,0.5,0.5351801717718166,1
763.03,0.5,1.0481399838868546,1
763.063,0.5,1.125784193253367,1
763.096,0.5,0.9751417792035192,1
763.13,0.5,0.669203192137434,1
763.263,0.5,0.5807217183008236,1
765.632,0.5,0.6753853857833529,1
765.666,0.5,0.6503689853726811,1
767.534,0.5,2.229080149158145,1
767.568,0.5,1.615559552160827,1
767.601,0.5,1.395899201957937,1
767.634,0.5,1.4396014130641732,1
767.668,0.5,1.1103853559966992,1
767.701,1.0,0.5721179881079239,2
767.734,0.5,0.45063053764465416,1
767.768,0.5,0.26038702737251274,1
767.801,0.5,0.2720698036498373,1
767.835,0.5,0.5163068091497065,1
767.868,0.5,0.38275770642099705,1
767.901,0.5,0.17413681688507587,1
767.935,0.5,1.176484532720513,1
767.968,0.5,0.9235797340645254,1
768.001,0.5,1.273806599141149,1
768.035,0.5,1.2562304529142696,1
768.068,0.5,1.3479930210994002,1
768.101,0.5,1.67150915050404,1
768.135,0.5,1.2894203488966707,1
768.168,0.5,0.8199001056884175,1
768.202,0.5,0.5300041253487303,1
768.235,0.5,0.7509160689076538,1
768.268,0.5,0.21614054066200664,1
768.302,0.5,0.14244694769497734,1
768.335,0.5,0.17503785566215804,1
768.368,0.5,0.576131796826681,1
768.402,0.5,0.4069802388209515,1
768.435,0.5,0.5801091969284446,1
768.468,0.5,0.5761317968266845,1
768.502,0.5,0.5808602134380353,1
768.535,0.5,0.7560783355852394,1
768.569,0.5,0.8242852945725239,1
768.602,0.5,0.804832630059921,1
768.635,0.5,0.4771347136212282,1
768.669,0.5,0.8017230092626234,1
768.702,0.5,0.4672058202768005,1
768.735,0.5,0.3012151552149549,1
768.769,1.0,0.2130577767148284,2
773.807,0.5,1.2076535961004047,1
773.841,0.5,1.2133824694389501,1
773.874,0.5,1.9089859907774258,1
773.907,0.5,1.9922966708445635,1
773.941,0.5,1.6629322123679566,1
773.974,0.5,2.5378280377724605,1
774.007,0.5,0.6133774653185293,1
774.041,0.5,0.6639618664202311,1
774.074,0.5,0.683480565460662,1
774.107,0.5,0.8065639778296684,1
774.141,0.5,0.5193673535190968,1
774.174,0.5,0.30867235925519715,1
774.208,0.5,0.5880177733570486,1
774.241,0.5,0.24839288182112948,1
774.274,0.5,0.4629842077955135,1
774.308,0.5,0.8242852945725239,1
774.341,0.5,0.5317784898440359,1
774.374,0.5,1.1574605194888006,1
774.408,0.5,1.9537433388824827,1
774.441,0.5,1.6774957275171438,1
774.474,0.5,1.3653481837170276,1
774.508,0.5,1.205436044132779,1
774.541,0.5,1.3443075259289194,1
774.575,0.5,1.0714449928279877,1
774.608,0.5,1.143904587234491,1
774.641,0.5,0.3264057779634557,1
774.675,0.5,0.12640625074665027,1
774.708,0.5,0.1821878807747094,1
774.741,0.5,0.20965648666520176,1
774.775,0.5,0.26526179889938073,1
774.808,0.5,0.29199091745185646,1
774.842,0.5,0.1326220602699156,1
774.875,0.5,0.6627053133203702,1
774.908,0.5,0.9900201432564649,1
774.942,0.5,0.6654163253849232,1
774.975,0.5,1.3463386381656084,1
775.008,0.5,0.8906287470580387,1
775.042,0.5,0.578306867039514,1
775.075,0.5,0.5884978124657522,1
775.108,0.5,0.30434745818141645,1
775.142,0.5,0.16803945320320685,1
775.175,0.5,0.09109394038767606,1
775.209,0.5,0.09900175250737164,1
